Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
Fraud Risk Management,जहां न्यायालय के निर्देशानुसार एफएमआर वापस लेना या अपराधी का नाम हटाना आवश्यक हो विनियमित संस्थाएं तत्काल एफएमआर वापस लेने अपराधी का नाम हटाने की व्यवस्था कर सकती हैं। ऐसे मामलों को बाद में सूचना के लिए डब्ल्यूटीडी स्तर के अधिकारी के समक्ष प्रस्तुत किया जाएगा।,एफएमआर का पूर्ण रूप क्या है?,धोखाधड़ी निगरानी विवरणी,Factual,Easy,न्यायालय आदेश पर एफएमआर वापस लेने के लिए किसकी अनुमति चाहिए?,तत्काल वापस ली जा सकती है बाद में डब्ल्यूटीडी को सूचित करें,Conditional,Hard,डब्ल्यूटीडी क्या है?,पूर्णकालिक निदेशक,Factual,Medium,क्या एफएमआर वापस लेना स्वचालित है?,नहीं न्यायालय निर्देश आवश्यक है,Factual,Medium
Fraud Risk Management,एनबीएफसी की समूह इकाइयों में की गई धोखाधड़ी की रिपोर्टिंग केवल रिपोर्टिंग एनबीएफसी से संबंधित समूह इकाइयों सहायक सहबद्ध संयुक्त उद्यम आदि में की गई धोखाधड़ी की रिपोर्टिंग की आवश्यकता है। व्यापक समूह की अन्य इकाइयों पर लागू नहीं होती है।,एनबीएफसी में धोखाधड़ी रिपोर्टिंग किन इकाइयों के लिए है?,सहायक सहबद्ध और संयुक्त उद्यम के लिए,Factual,Medium,क्या समूह की सभी कंपनियों को रिपोर्ट करना होगा?,नहीं केवल संबंधित समूह इकाइयों को,Conditional,Medium,रिपोर्टिंग की आवश्यकता किस पर लागू नहीं होती?,व्यापक समूह की अन्य असंबद्ध इकाइयों पर,Inferential,Hard,,,,
Fraud Risk Management,संशोधित मास्टर निदेशों के अनुसार बैंकों को आरबीआई को धोखाधड़ी पर मासिक प्रमाणपत्र मासिक केंद्रीय धोखाधड़ी रजिस्ट्री प्रमाणपत्र और फ्लैश रिपोर्ट प्रस्तुत करने की आवश्यकता नहीं है।,क्या बैंकों को मासिक सीएफआर प्रमाणपत्र देना होगा?,नहीं संशोधित निदेशों के अनुसार आवश्यक नहीं,Factual,Easy,फ्लैश रिपोर्ट क्या है?,धोखाधड़ी की तत्काल रिपोर्टिंग प्रणाली,Factual,Medium,क्या कोई रिपोर्टिंग आवश्यकता समाप्त हुई है?,हां मासिक प्रमाणपत्र और फ्लैश रिपोर्ट,Inferential,Medium,,,,
KYC Compliance,केवाईसी एक ऐसी प्रक्रिया है जिसके द्वारा एक विनियमित संस्था बैंक सहित ग्राहक की पहचान और पता व्यवसाय की प्रकृति और वित्तीय स्थिति के बारे में जानकारी प्राप्त करती है और उसका सत्यापन करती है। यह प्रक्रिया यह सुनिश्चित करने में मदद करती है कि सेवाओं का दुरुपयोग काले धन को वैध बनाना आतंकवादी वित्तपोषण उद्देश्यों के लिए नहीं किया जाता हो।,केवाईसी का पूर्ण रूप क्या है?,अपने ग्राहक को जानिए,Factual,Easy,केवाईसी क्यों आवश्यक है?,मनी लॉन्ड्रिंग और आतंकवादी वित्तपोषण रोकने के लिए,Inferential,Medium,केवाईसी में क्या जानकारी एकत्र की जाती है?,पहचान पता व्यवसाय की प्रकृति और वित्तीय स्थिति,Factual,Easy,एमएल टीएफ पीएफ का अर्थ क्या है?,मनी लॉन्ड्रिंग टेररिस्ट फाइनेंसिंग प्रोलिफरेशन फाइनेंसिंग,Factual,Medium
KYC Compliance,केवाईसी अनिवार्य रूप से किया जाना है खाता आधारित संबंध की शुरुआत करते समय जब वॉक इन ग्राहक ₹50000 के बराबर या उससे अधिक राशि का लेनदेन करता है जब अंतरराष्ट्रीय रामि अंतरण करता है जब प्राप्त ग्राहक पहचान डेटा की प्रामाणिकता के बारे में संदेह हो और जब एजेंट के रूप में उत्पाद बेचता है।,केवाईसी कब अनिवार्य है?,खाता खोलते समय और 50000 रुपये से अधिक लेनदेन पर,Factual,Easy,वॉक इन ग्राहक के लिए केवाईसी सीमा क्या है?,₹50000,Numerical,Easy,क्या अंतरराष्ट्रीय रामि अंतरण के लिए केवाईसी चाहिए?,हां चाहे रामि कितनी भी हो,Factual,Medium,कितनी परिस्थितियों में केवाईसी अनिवार्य है?,पांच प्रमुख परिस्थितियां,Numerical,Medium
KYC Compliance,वाक इन ग्राहक का अर्थ ऐसे व्यक्ति से है जिसका आरई के साथ खाता आधारित संबंध नहीं है लेकिन वह आरई के साथ लेनदेन करता है। यदि किसी आरई का मौजूदा केवाईसी अनुपालक ग्राहक उसी आरई में दूसरा खाता खोलना चाहता है तो उसे कोई केवाईसी दस्तावेज जमा करने की आवश्यकता नहीं है।,वॉक इन ग्राहक कौन है?,जिसका बैंक में खाता नहीं है लेकिन लेनदेन करता है,Factual,Easy,क्या दूसरा खाता खोलने पर फिर से केवाईसी चाहिए?,नहीं यदि पहले से केवाईसी अनुपालक हो,Conditional,Medium,मौजूदा ग्राहक को क्या लाभ है?,दूसरे खाते के लिए दस्तावेज फिर से नहीं देने होंगे,Inferential,Medium,,,,
KYC Compliance,व्यक्ति द्वारा खाता खोलने के लिए आधिकारिक रूप से मान्य दस्तावेज में से कोई एक जैसे पासपोर्ट ड्राइविंग लाइसेंस आधार संख्या होने का प्रमाण मतदाता पहचान पत्र नरेगा जॉब कार्ड और एनपीआर द्वारा जारी पत्र के साथ स्थायी खाता संख्या पैन और ग्राहक के व्यवसाय की प्रकृति के दस्तावेज आवश्यक हैं।,ओवीडी के कितने प्रकार हैं?,छह प्रमुख ओवीडी पासपोर्ट लाइसेंस आधार वोटर आईडी नरेगा कार्ड एनपीआर पत्र,Numerical,Medium,क्या पैन अनिवार्य है?,हां या फॉर्म 60,Conditional,Easy,नरेगा कार्ड किसके द्वारा जारी किया जाता है?,राज्य सरकार के अधिकारी द्वारा,Factual,Medium,खाता खोलने के लिए कितने दस्तावेज चाहिए?,तीन प्रकार - ओवीडी पैन और व्यवसाय दस्तावेज,Numerical,Easy
KYC Compliance,यदि किसी ग्राहक के पास ओवीडी नहीं है तब भी वह बैंक में लघु खाता खोल सकता है। बैंक ग्राहक से एक स्व सत्यापित फोटोग्राफ प्राप्त करेगा और बैंक का नामित अधिकारी अपने हस्ताक्षर से प्रमाणित करेगा। लघु खाता प्रारंभ में बारह महीने की अवधि के लिए चालू रहेगा।,लघु खाता क्या है?,ओवीडी के बिना खोला जाने वाला खाता,Factual,Easy,लघु खाता कितने समय के लिए वैध है?,बारह महीने,Numerical,Easy,लघु खाते के लिए क्या दस्तावेज चाहिए?,स्व सत्यापित फोटोग्राफ,Factual,Medium,कौन फोटो को प्रमाणित करता है?,बैंक का नामित अधिकारी,Factual,Easy
KYC Compliance,यदि ग्राहक द्वारा आरई को प्रस्तुत ओवीडी में वर्तमान पता नहीं है तो वह यूटिलिटी बिल संपत्ति या नगरपालिका की कर रसीद पेंशन भुगतान आदेश निर्योक्ता का आवास आवंटन पत्र में से कोई एक दस्तावेज प्रस्तुत कर सकता है। यह दस्तावेज पते के प्रमाण के सीमित उद्देश्य के लिए ओवीडी माने जाते हैं।,पते के लिए वैकल्पिक ओवीडी कौन से हैं?,यूटिलिटी बिल संपत्ति कर रसीद पेंशन आदेश आवास पत्र,Factual,Medium,यूटिलिटी बिल कितना पुराना हो सकता है?,दो महीने से अधिक पुराना नहीं,Numerical,Medium,क्या ये दस्तावेज स्थायी ओवीडी हैं?,नहीं केवल पते के प्रमाण के लिए,Conditional,Hard,पीपीओ का पूर्ण रूप क्या है?,पेंशन या परिवार पेंशन भुगतान आदेश,Factual,Easy
KYC Compliance,ग्राहक को तीन महीने में वर्तमान पते का आधिकारिक रूप से मान्य दस्तावेज जमा करना होगा। यदि नाम में परिवर्तन हुआ है और ओवीडी में नया नाम शामिल नहीं है तो पूर्ववर्ती नाम का एक ओवीडी के साथ राजपत्र अधिसूचना या राज्य सरकार द्वारा जारी विवाह प्रमाण पत्र प्रस्तुत किया जा सकता है।,अस्थायी पता दस्तावेज की वैधता कितनी है?,तीन महीने,Numerical,Easy,नाम परिवर्तन के लिए कौन से दस्तावेज चाहिए?,पुराना ओवीडी और राजपत्र अधिसूचना या विवाह प्रमाण पत्र,Factual,Medium,क्या नाम परिवर्तन के लिए विशेष प्रक्रिया है?,हां सरकारी दस्तावेज आवश्यक है,Conditional,Medium,,,,
KYC Compliance,आधार संख्या प्रदान करना अनिवार्य नहीं है। तथापि यदि ग्राहक आधार अधिनियम 2016 की धारा 7 के तहत अधिसूचित किसी भी योजना का कोई लाभ या सब्सिडी प्राप्त करना चाहता है तो ग्राहक को आधार संख्या प्रदान करनी होगी। ग्राहक अन्य मामलों में आधार संख्या स्वेच्छा से प्रदान कर सकता है।,क्या केवाईसी के लिए आधार अनिवार्य है?,नहीं स्वैच्छिक है,Factual,Easy,आधार कब अनिवार्य हो जाता है?,सरकारी योजना का लाभ लेने के लिए,Conditional,Medium,आधार अधिनियम की कौन सी धारा प्रासंगिक है?,धारा 7,Factual,Medium,क्या बिना आधार के खाता खोल सकते हैं?,हां अन्य ओवीडी से,Conditional,Easy
KYC Compliance,आरई की किसी शाखा द्वारा एक बार किया गया केवाईसी सत्यापन उसी आरई की किसी अन्य शाखा में खाते के स्थानांतरण के लिए मान्य होगा बशर्ते संबंधित खाते का पूर्ण केवाईसी सत्यापन किया गया हो और उसमें आवधिक अद्यतनीकरण की आवश्यकता न हो। संयुक्त खाते के सभी खाताधारकों का केवाईसी करना आवश्यक है।,क्या खाता स्थानांतरण पर नया केवाईसी चाहिए?,नहीं यदि पूर्ण केवाईसी हो और अद्यतन न हो,Conditional,Medium,संयुक्त खाते में कितने लोगों का केवाईसी होगा?,सभी खाताधारकों का,Factual,Easy,एक शाखा का केवाईसी दूसरी में मान्य है क्यों?,क्योंकि एक ही आरई है,Inferential,Medium,,,,
KYC Compliance,ग्राहक को ऑनबोर्ड करने के लिए आरई के पास प्रत्यक्ष ऑनबोडिंग आरई की शाखा में ई केवाईसी प्रमाणीकरण आधार का ऑफलाइन सत्यापन ओवीडी की प्रमाणित प्रति डिजिटल केवाईसी प्रक्रिया और वीडियो आधारित ग्राहक पहचान प्रक्रिया वी सीआईपी विकल्प हैं। अप्रत्यक्ष ऑनबोडिंग में आधार ओटीपी आधारित ई केवाईसी और डिजिटल चैनलों का उपयोग शामिल है।,ग्राहक ऑनबोर्डिंग के कितने तरीके हैं?,दो प्रत्यक्ष और अप्रत्यक्ष,Numerical,Easy,वी सीआईपी क्या है?,वीडियो आधारित ग्राहक पहचान प्रक्रिया,Factual,Easy,ई केवाईसी में क्या आवश्यक है?,ओटीपी और बायोमेट्रिक प्रमाणीकरण,Factual,Medium,डिजिटल चैनल कौन से हैं?,सीके वाईसीआर डिजिलॉकर आदि,Factual,Medium
KYC Compliance,केवाईसी पहचानकर्ता का अर्थ है केंद्रीय केवाईसी रिकॉर्ड रजिस्ट्री द्वारा आरई के ग्राहक को सौंपा गया एकमात्र नंबर या कोड। यदि ग्राहक खाता खोलने के लिए आरई से संपर्क करता है तो वह अपना केवाईसी पहचानकर्ता प्रदान कर सकता है। इससे ग्राहक को दूसरे आरई के साथ खाता खोलते समय फिर से केवाईसी दस्तावेज जमा करने की आवश्यकता नहीं होगी।,केवाईसी पहचानकर्ता क्या है?,सीके वाईसीआर द्वारा जारी एकमात्र नंबर,Factual,Easy,केवाईसी पहचानकर्ता का लाभ क्या है?,बार बार दस्तावेज जमा करने की जरूरत नहीं,Inferential,Medium,सीके वाईसीआर क्या है?,केंद्रीय केवाईसी रिकॉर्ड रजिस्ट्री,Factual,Easy,ग्राहक पहचानकर्ता कैसे प्राप्त करें?,आरई से या सीके वाईसीआर पोर्टल से,Factual,Medium
KYC Compliance,वी सीआईपी चेहरे की पहचान और ग्राहक की उचित तत्परता के साथ ग्राहक पहचान की एक वैकल्पिक विधि है जो आरई को अधिकृत आरई अधिकारी और ग्राहक के बीच डिजिटल सुरक्षित लाइव सूचित और सहमति आधारित ऑडियो विजुअल बातचीत के माध्यम से ग्राहक की पहचान की जानकारी प्राप्त और सत्यापित करने की अनुमति देती है। वी सीआईपी से आरई की शाखा में प्रत्यक्ष जाने की आवश्यकता समाप्त हो जाती है।,वी सीआईपी का पूर्ण रूप क्या है?,वीडियो आधारित ग्राहक पहचान प्रक्रिया,Factual,Easy,वी सीआईपी का मुख्य लाभ क्या है?,शाखा में जाने की जरूरत नहीं,Inferential,Easy,वी सीआईपी में क्या आवश्यक है?,लाइव ऑडियो विजुअल बातचीत,Factual,Medium,क्या सहायक वी सीआईपी संभव है?,हां बिजनेस कॉरेस्पोंडेंट की मदद से,Factual,Medium
KYC Compliance,चेहरे पर विशिष्ट हाव भाव जैसे पलकें झपकाना मुस्कुराना भौंहें चढ़ाना आदि जीवंतता जांच के लिए अनिवार्य नहीं हैं। आरई को जीवंतता जांच के दौरान ग्राहक की विशेष आवश्यकता यदि कोई हो का उचित संज्ञान लेना आवश्यक है। वी सीआईपी का उपयोग नए व्यक्तिगत ग्राहक को शामिल करने मौजूदा खाते को परिवर्तित करने और केवाईसी रिकॉर्ड के अद्यतन के लिए किया जा सकता है।,क्या वी सीआईपी में पलकें झपकाना जरूरी है?,नहीं अनिवार्य नहीं है,Factual,Easy,वी सीआईपी किन उद्देश्यों के लिए है?,नए ग्राहक खाता परिवर्तन और केवाईसी अपडेट,Factual,Medium,विशेष आवश्यकता वाले ग्राहकों के लिए क्या?,आरई को उचित संज्ञान लेना आवश्यक,Inferential,Medium,जीवंतता जांच क्या है?,यह सुनिश्चित करना कि व्यक्ति वास्तविक है,Inferential,Hard
KYC Compliance,आरई को ग्राहकों के केवाईसी रिकॉर्ड को चालू समुचित सावधानी प्रक्रिया के भाग के रूप में अद्यतन करना आवश्यक है। ऐसे अद्यतनीकरण की आवधिकता आरई द्वारा ग्राहक के जोखिम वर्गीकरण पर निर्भर करती है। केवाईसी रिकार्ड का आवधिक अद्यतनीकरण उच्च जोखिम वाले ग्राहकों के लिए प्रत्येक दो वर्ष में एक बार मध्यम जोखिम वाले ग्राहकों के लिए आठ वर्ष में एक बार तथा निम्न जोखिम वाले ग्राहकों के लिए दस वर्ष में एक बार किया जाएगा।,केवाईसी अपडेट की आवधिकता क्या है?,जोखिम के आधार पर 2 8 या 10 वर्ष,Numerical,Medium,उच्च जोखिम ग्राहकों के लिए कितनी बार?,हर दो वर्ष में,Numerical,Easy,निम्न जोखिम के लिए कितने वर्ष?,दस वर्ष में एक बार,Numerical,Easy,आवधिक अद्यतनीकरण क्यों जरूरी है?,डेटा को अद्यतन और सुसंगत रखने के लिए,Inferential,Medium
KYC Compliance,ग्राहक के जोखिम वर्गीकरण के लिए निर्धारित व्यापक संकेतक पैरामीटर ग्राहक की पहचान सामाजिक वित्तीय स्थिति व्यावसायिक कार्यकलाप की प्रकृति ग्राहक के व्यवसाय और उसके स्थान के बारे में जानकारी भौगोलिक जोखिम दिये जाने वाले उत्पादों सेवाओं का प्रकार डिलीवरी चैनल किए गए लेनदेन के प्रकार है।,जोखिम वर्गीकरण के कितने पैरामीटर हैं?,कई ग्राहक पहचान स्थिति व्यवसाय भूगोल उत्पाद चैनल लेनदेन,Numerical,Hard,ग्राहक जोखिम क्यों निर्धारित करते हैं?,केवाईसी अपडेट की आवधिकता तय करने के लिए,Inferential,Medium,भौगोलिक जोखिम क्या है?,ग्राहक के स्थान से जुड़ा जोखिम,Inferential,Hard,क्या जोखिम श्रेणी ग्राहक को बताई जाती है?,नहीं,Factual,Easy
